[rosmaster.master][INFO] 2019-04-02 21:50:53,151: +SERVICE [/play_1554241853147496444/set_logger_level] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:50:53,153: +PUB [/clock] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:50:53,189: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,029: +PUB [/camera/depth/image_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,030: +PUB [/camera/rgb/image_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,030: +PUB [/camera/rgb/image_mono] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,031: +PUB [/camera/rgb/image_color] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,032: +PUB [/camera/depth/image_rect_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,033: +PUB [/camera/depth/image_rect] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,033: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:51:13,035: +PUB [/camera/depth/disparity] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:13,036: +PUB [/camera/depth/points] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,190: -PUB [/rosout] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,191: -PUB [/clock] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,192: -PUB [/camera/depth/image_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,193: -PUB [/camera/rgb/image_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,194: -PUB [/camera/rgb/image_mono] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,194: -PUB [/camera/rgb/image_color] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,195: -PUB [/camera/depth/image_rect_raw] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,196: -PUB [/camera/depth/image_rect] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,196: -PUB [/camera/depth/disparity] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,197: -PUB [/camera/depth/points] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,198: -SERVICE [/play_1554241853147496444/get_loggers] /play_1554241853147496444 rosrpc://9fe54ba3caf9:60087
[rosmaster.master][INFO] 2019-04-02 21:51:23,199: -SERVICE [/play_1554241853147496444/set_logger_level] /play_1554241853147496444 rosrpc://9fe54ba3caf9:60087
[rosmaster.master][INFO] 2019-04-02 21:51:23,232: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:51:23,233: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:52:42,457: -SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:52:42,457: -PUB [/rosout] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:52:42,457: -SERVICE [/depthtest/get_loggers] /depthtest rosrpc://9fe54ba3caf9:35959
[rosmaster.master][INFO] 2019-04-02 21:52:42,457: -SERVICE [/depthtest/set_logger_level] /depthtest rosrpc://9fe54ba3caf9:35959
[rosmaster.master][INFO] 2019-04-02 21:52:42,458: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:54:05,662: +PUB [/rosout] /depthtest http://9fe54ba3caf9:41057/
[rosmaster.master][INFO] 2019-04-02 21:54:05,664: +SERVICE [/depthtest/get_loggers] /depthtest http://9fe54ba3caf9:41057/
[rosmaster.master][INFO] 2019-04-02 21:54:05,665: +SERVICE [/depthtest/set_logger_level] /depthtest http://9fe54ba3caf9:41057/
[rosmaster.master][INFO] 2019-04-02 21:54:05,667: +SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:41057/
[rosmaster.master][INFO] 2019-04-02 21:54:05,681: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:54:18,955: +PUB [/rosout] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:18,956: +SERVICE [/play_1554242058952133407/get_loggers] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:18,957: +SERVICE [/play_1554242058952133407/set_logger_level] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:18,958: +PUB [/clock] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:19,002: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:54:23,574: +PUB [/camera/rgb/image_color] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,575: +PUB [/camera/depth/image_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,576: +PUB [/camera/rgb/image_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
